id,domain,feature,user_story,expected_behavior,status,gaps_for_robustness,priority,test_result,notes
B22,SongCreation,Render Idempotency & Resumability (params_hash memoization),"As the system, I want render steps memoized by params hash, so that a resumed or retried render skips already-completed work.","; - `STEP_MEMO_FIELDS` in `src/workflows/runner.js` maps step names to their trackVersion output field ; - Before dispatching a step, runner checks: if the memo field is set (non-null) — and for `moderation`, if value is `'passed'` — the step is skipped ; - File-based memos: `instrumental` checks both DB field (`instrumental_url`) AND local file (`inst_preview.mp3`); `guide_vocal` similarly ; - `p",Partial,"; - `voice_convert` and `voice_convert_sections` rely on `fs.existsSync` at the handler level — if local files are wiped (deploy), voice conversion re-runs even if output was previously uploaded ; - `mix` and `watermark` have no memoization at all; re-run on every retry regardless of file existence ; - `params_hash` is computed at version creation and not re-verified at render time; if track metad",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B23,SongCreation,Render Retry (Manual Retry Endpoint),"As a user, I want to retry a failed render, so that a transient pipeline failure doesn't cost me my song.","; - Endpoint: `POST /tracks/:id/versions/:version/retry` ; - Finds the failed job for the version and workflow type; calls `retryFailedJob()` ; - `retryFailedJob` re-queues the existing job (resets status to `queued`, increments attempts) if `attempts < max_attempts` ; - If `result.blocked` (moderation block detected) → 404 `NO_FAILED_JOB` (backward-compatible) ; - `result.conflict` (TOCTOU — job ",Implemented,; - Retry reuses the same `max_attempts=3` counter; after 3 attempts the job can no longer be retried via this endpoint (must go through DLQ reprocess or manual intervention) ; - No user-facing indication of which step failed and why beyond `error_code` / `error_message` on the job ; - `blocked` result returns 404 (`NO_FAILED_JOB`) for backward compatibility — misleading error code,P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B24,SongCreation,Render Cancel,"As a user, I want to cancel an in-progress render, so that I can stop a song I no longer want and return it to draft.","; - Endpoint: `POST /tracks/:id/versions/:version/cancel` ; - Finds active job (`queued` or `running`) for the version (preview or full) ; - DB transaction: updates `jobs.status='cancelled'`, `error_code='USER_CANCELLED'`; updates `track_versions.status='cancelled'`; resets `tracks.status='draft'` ; - TOCTOU guard: if job completed between the find and the update (`cancelResult.changes===0`), abor",Implemented,"; - Cancel sets DB status to `cancelled` but does NOT send a signal to the runner process currently executing the step; if the runner is mid-API-call (e.g., waiting on Suno), the API call completes regardless — the cancel only takes effect at the next step transition ; - No refund of credits on cancel (billing was already spent at render start; `billing_holds` table was dropped)",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B25,SongCreation,Reroll (Lyrics / Beat / Vocals / Section-only),"As a user, I want to reroll the lyrics, beat, vocals, or a single section, so that I can refine the song without starting over.",; - Endpoint: `POST /tracks/:id/versions/:version/reroll` ; - Body: `type` field (not fully detailed from grep alone — endpoint exists at line 1483 of tracks.js) ; - Creates a new `track_versions` row (increments `version_num` via `incrementTrackVersion`) ; - Inserts new `jobs` row for the appropriate workflow type ; - Runner supports `reroll_requested` flag in step_data at the `ready` step; route,Partial,"; - Lyrics-only reroll should reuse the existing instrumental (cheap path), but this optimisation is not confirmed implemented vs. re-running the full pipeline ; - Section-only reroll (re-render single section): mentioned in CLAUDE.md but no `section_name` parameter found in the reroll grep output ; - Vocals reroll with reduced `similarity_strength` on retry — this adaptive param is not implemente",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B26,SongCreation,Suno Callback Handler,"As the system, I want Suno callbacks authenticated by HMAC and fail-secure, so that only legitimate provider updates are accepted.",; - Endpoint: `POST /internal/suno-callback` registered by `registerInternalSunoCallbackRoutes` ; - HMAC authentication: checks `X-Suno-Signature` header (HMAC-SHA256 of raw body) OR `?token=<secret>` query param ; - When `SUNO_CALLBACK_HMAC_SECRET` is unset → 503 (fail-secure) ; - Current implementation is a **no-op stub**: logs the callback (redacted) but does NOT mutate any DB state ; - Explici,Partial,"; - Callback does not drive state transitions; persona creation latency is bounded by polling interval, not push notification ; - If `SUNO_CALLBACK_HMAC_SECRET` env var is not set in production, every callback returns 503 silently (this is intentional but needs operational awareness) ; - Transition to stateful callback (as documented in the code comment) requires both auth design completion and TO",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B27,SongCreation,Job Status Polling,"As a user, I want to poll my render job's status and progress, so that I can see how my song is coming along.","; - Endpoint: `GET /jobs/:id` (inferred from route references; `poll_url: /jobs/${jobId}` returned by render endpoints) ; - `jobs` table fields available for polling: `status`, `step`, `progress_pct`, `error_code`, `error_message`, `last_heartbeat_at`, `step_data` ; - Runner updates `last_heartbeat_at` during long steps; clients can detect stuck jobs if heartbeat goes stale ; - `202` responses fro",Implemented,; - Heartbeat staleness detection is not enforced server-side; no auto-recovery if runner crashes mid-step and heartbeat stops ; - No SSE / WebSocket push; clients must poll — chattiness for 90s render ; - `estimated_completion_sec` is hardcoded to 90; not dynamic,P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B28,SongCreation,Dead-Letter Queue (DLQ),"As the platform, I want repeatedly failing jobs moved to a dead-letter queue with reprocessing, so that stuck renders are isolated and can be recovered.","; - Service: `src/workflows/dlq.js` — `createDLQService(db)` ; - `moveToDeadLetter({ jobId, reason })`: fetches job, inserts into `dead_letter_queue` table ; - `listDeadLetters({ unprocessedOnly })`: lists DLQ entries with associated job ; - `reprocess({ jobId, fromStep })`: creates a new job from the failed one, starting from a specified step; marks DLQ entry as reprocessed ; - `MAX_CIRCUIT_PARKS",Implemented,"; - DLQ uses PostgreSQL (`db.query` with `$1` params) while main runner uses SQLite-compatible (`db.prepare` with `?` params) — potential mismatch if run in SQLite test/dev environment ; - No admin API endpoint to list/reprocess DLQ entries; management is code-only ; - `purge()` function not verified in detail; if it deletes without archiving, forensic data is lost permanently ; - No alerting/noti",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B29,SongCreation,Circuit Breaker,"As the platform, I want a circuit breaker around external providers, so that a failing provider doesn't cascade into widespread render failures.","; - Class: `CircuitBreaker` in `src/workflows/circuit-breaker.js` ; - States: `closed` (normal) → `open` (failure threshold exceeded) → `half-open` (cooldown elapsed, probe) → `closed` (probe success) or `open` (probe failure) ; - `failureThreshold`: N failures opens circuit; `cooldownMs`: time before half-open ; - `canExecute(provider)`: returns false if open; `recordSuccess` / `recordFailure` up",Implemented,"; - Circuit breaker state is **in-memory only** (class instance per process); a Node.js restart resets all circuit state, potentially re-hammering a failing provider on restart ; - No DB-backed circuit state sharing across multiple runner instances (if horizontally scaled) ; - `failureThreshold` and `cooldownMs` values hardcoded at instantiation; no runtime tuning ; - No metrics export; circuit op",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B30,SongCreation,LLM Provider (generateText / Fallback Chain),"As the system, I want LLM calls to fall back across providers (Gemini to Anthropic to OpenAI), so that text generation stays available if one provider fails.","; - Module: `src/services/llm-provider.js` — `generateText(options)` ; - Primary: Gemini (`gemini-3-flash-preview`; env-overridable via `GEMINI_MODEL_LYRICS` / `GEMINI_MODEL_SIMPLE`) ; - Fallback chain: Anthropic (`claude-sonnet-4-20250514` for lyrics, `claude-3-haiku-20240307` for simple) → OpenAI (`gpt-4o`) ; - `taskType`: `'lyrics'` | `'simple'` — selects model tier ; - Config: `maxInputTokens:",Implemented,"; - Gemini model name `""gemini-3-flash-preview""` — this model name is non-standard; may be a placeholder or internal alias that could silently fail if the API rejects it ; - `maxOutputTokens:2000` is the CONFIG default but songwriter overrides to `LYRICS_LLM_MAX_OUTPUT_TOKENS=3000`; inconsistency if other callers rely on default ; - Fallback chain is sequential (Gemini → Anthropic → OpenAI); all",P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B31,SongCreation,Style Registry & Provider-Style Routing,"As the system, I want a style registry that routes requested styles to provider-specific prompts, so that each genre renders well on the chosen provider.","; - `src/providers/style-registry.js`: static map of style keys → `{ genre_core, rhythmic_signature, arrangement_notes, bpmRange, suno: { support, ... }, vocal_character }` ; - `src/providers/provider-style-routing.js`: `getStylePrompt(style, provider, overrides)` → compact style string for provider payload ; - `suno.support` levels: `strong` / `medium` / `weak`; weak/medium get `rhythmic_signatur",Implemented,"; - Static registry; adding a new style requires a code deploy ; - No fallback for unknown styles beyond a generic default; user-facing error for unknown style key not verified ; - `suno.support` levels not exposed to users; a ""weak support"" style may produce consistently poor results without explanation",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B32,SongCreation,Share Token Creation / Play URL,"As a user, I want a lifetime play/share link created when my song is ready, so that I can immediately share the finished song.","; - `createOrGetShareToken()` in `src/services/share-service.js` ; - Called at `ready` step completion and from `POST /tracks/:id/share` ; - Tokens have `expires_at=9999-12-31` (lifetime); `share_type='lifetime'` ; - `buildPlayShareUrl(tokenId, opts)` constructs the play URL ; - `ensureShareMp4()` ensures the audio file is accessible for the share ; - Share tokens stored in `share_tokens` table; o",Implemented,; - Share token uniqueness index (`ON share_tokens (track_id)`) means only one share link per track; if the token is lost or corrupted there is no re-issue path without DB intervention ; - OG cache-busting via `socialCacheToken: Date.now()` appended to URL; this may cause CDN cache misses on every share re-generation,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B33,SongCreation,Poem Generation (Story-Based),"As a user, I want to generate a poem from my completed story, so that I can create a poem gift from the same details (idempotently per gift reservation).","; - Endpoint: `POST /stories/:id/poem` in `src/routes/story.js` ; - Accepts `tone`, `style`, `gift_reservation_id` ; - Idempotency: if gift reservation already has a `poem` content type, returns existing poem without re-generating ; - Validates gift funding reservation; validates voice mode / enrollment if relevant ; - Calls poem generation service (inferred from `poems` table in schema) ; - Remov",Partial,; - CLAUDE.md marks `poems` table as a TODO missing table — contradicts the route code that queries it; migration status unclear ; - No rate limit on poem generation endpoint found in route code excerpt ; - Poem content not run through the same lyrics policy sanitizer (poem may contain content the songwriter would have sanitized),P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
C1,VoiceEnrollment,Enrollment session start,"As a user, I want to start a voice-enrollment session that checks my risk level and consent before issuing recording prompts, so that I can safely begin capturing my voice within the allowed quota.",; - `POST /voice/enrollment/start` ; - Risk gate: `blocked` and `high` risk levels are rejected with `403 ACCOUNT_BLOCKED` ; - Consent gate runs _before_ rate-limit consumption (gap-2 fix — prevents DoS on quota) ; - Rate limit: 25 sessions / 24 h per user (`enrollment_start` action) ; - Prompt set generated via `enrollment-session-service` (spoken phrases + sung calibration prompts) ; - Session c,Implemented,"; - No check that an already-active enrollment session for the same user is cancelled/superseded; a user can have multiple `recording` sessions open simultaneously ; - `upload_urls` are pre-signed — expiry handling if user takes longer than the pre-sign TTL is not verified in code ; - `consent_version` defaults to `""1.0""` if omitted by client — no enforcement that the client sends the canonical ",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `enrollment_sessions`, `rate_limits`, `audit_logs` ; --- ; | ; --- ;"
C2,VoiceEnrollment,Chunk upload (debug route),"As a QA/debug user, I want to upload raw recording chunks during enrollment so that the audio is stored and per-chunk duration and quality are tracked.","; - `POST /voice/enrollment/chunk_upload` (multipart) — gated behind `enableDebugRoutes` flag ; - Reads raw WAV bytes; parses RIFF header to compute `duration_sec` ; - Writes to `storage/enrollment/raw/{userId}/{sessionId}/{chunkId}.wav` ; - Updates `enrollment_sessions.chunk_count` and `quality_metrics` JSON per chunk ; - Returns `{ status: ""accepted"", chunk_id, duration_sec }`",Partial,; - No maximum chunk size validation on the debug route (unbounded `Buffer.concat`) ; - Duration calculation silently returns `0` for non-WAV or malformed headers — no client error ; - `chunk_uploaded` notification endpoint: no signature/token verification that the upload actually happened vs. a spoofed notification ; - No deduplication: posting the same `chunk_id` twice increments `chunk_count` a,P0,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,**db_tables:** `enrollment_sessions` ; --- ; | ; --- ;
C3,VoiceEnrollment,Audio preprocessing pipeline,"As a user, I want my recordings automatically noise-suppressed, loudness-normalized, and silence-trimmed so that my voice sample is clean enough for accurate embedding.","; - `preprocessBatch` in `audio-preprocessing.js` runs per-chunk: noise suppression → loudnorm (`-20 LUFS, -1.5 TP`) → VAD trim (`-40 dB threshold`) via FFmpeg ; - Sung prompts use different parameters (`isSung=true`) ; - `useEnhancedPipeline` flag triggers a stacked filter pipeline ; - Feature flags control strategy: `voice_enrollment_preprocessing_strategy` (`ffmpeg|ml_server|hybrid`), `voice_en",Implemented,; - FFmpeg child process failures propagate as thrown errors but there is no retry logic within the preprocessing step itself ; - No disk-space guard before writing preprocessed audio ; - `ml_server` and `hybrid` strategies are referenced in feature flags but their concrete implementation in the source was not confirmed implemented ; - Preprocessed audio (`clean.wav`) is never explicitly scheduled,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,**db_tables:** `feature_flags` ; --- ; | ; --- ;
C4,VoiceEnrollment,QC processing (VAD / clipping / SNR analysis),"As a user, I want my recordings analyzed for noise, clipping, reverb, and speech presence against quality thresholds so that only usable audio passes enrollment.","; - `assessAudioQuality` in `audio-quality.js` computes: `snr_db`, `clipping_ratio`, `vad_ratio`, `reverb_score` ; - Thresholds differ by prompt type: ; - Spoken: `minSnr=12`, `maxClipping=0.05`, `maxReverb=0.6`, `minVadRatio=0.15` ; - Sung: `minSnr=8`, `maxClipping=0.08` (relaxed) ; - VAD uses `parseWavBuffer` to handle extended WAV headers (iOS JUNK/LIST chunks) ; - Grades: A (≥80), B (≥60 → ""g",Implemented,"; - `assessAudioQuality` throws on parse errors — caught upstream in `enrollment.js` but error propagation to the client relies on the caller not swallowing it ; - No per-chunk failure granularity returned to client; if 1 of 6 chunks is bad, the aggregate may still pass while masking a problem chunk ; - Reverb score computation method not independently verified (internal algorithm, no cross-valida",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,**db_tables:** `enrollment_sessions` ; --- ; | ; --- ;
C5,VoiceEnrollment,Enrollment complete & quality gate,"As a user, I want to complete enrollment and have my audio rejected with clear feedback if it scores below the quality bar, so that my voice profile is reliable.","; - `POST /voice/enrollment/complete` ; - Fetches session (must be `recording` status and belong to current user) ; - Runs `validateEnrollmentAudio` → `assessAudioQuality` → `calculateQualityGrade` ; - Hard gate: `qualityScore < 70` OR `qcResult.passed === false` OR `grade === ""F""` → `422 E101_AUDIO_TOO_NOISY`; session set to `failed_quality` ; - Passes: quality tier computed (`excellent`/`good`",Implemented,"; - ElevenLabs clone creation happens **outside** the DB transaction — if it succeeds but the transaction rolls back (e.g. duplicate profile insert), the ElevenLabs voice is orphaned and never deleted ; - `sunoPersonaAudioUploaded` flag depends on a prior upload step; if that upload silently fails (non-throwing), `shouldEnqueuePersona` is false but no user-visible indication is given ; - Re-enroll",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `enrollment_sessions`, `voice_profiles`, `voice_provider_profiles`, `voice_provider_jobs`, `audit_logs` ; --- ; | ; --- ;"
C6,VoiceEnrollment,Voice profile status lifecycle,"As a user, I want my voice profile to move through clear states (pending_provider to active) so that I know when it is ready to use.",; - Statuses observed in code: `pending_provider` → `active`; `deleted` (soft-delete) ; - `voice_provider_profiles` has its own state machine: `pending` → `upload_submitted` → `cover_submitted` → `persona_submitted` → `ready` (and error states) ; - `voice_provider_jobs` tracks individual async steps: `prepare_persona` step with `maxAttempts=8` ; - Job state: `pending` → `running` (with optimistic ,Implemented,; - No `expired` status for profiles — a `pending_provider` profile that never completes (e.g. Suno API permanently down) stays `pending_provider` indefinitely ; - No dead-letter / max-attempts exhaustion handler found for `voice_provider_jobs` — job silently stops retrying but user's profile stays `pending_provider` with no notification ; - Concurrent enrollment completions for the same user are ,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `voice_profiles`, `voice_provider_profiles`, `voice_provider_jobs` ; --- ; | ; --- ;"
C7,VoiceEnrollment,Voice embedding extraction (Replicate / ECAPA-TDNN),"As a user, I want my cleaned voice converted into a numerical embedding so that the system can personalize songs to my voice.","; - `extractEmbedding` in `replicate.js`: posts `{ audio: audioUrl }` to Replicate ECAPA-TDNN model ; - `waitForPrediction` with exponential backoff polling (`pollingConfig` not fully visible but backoff structure confirmed) ; - Returns `{ embedding_url, prediction_id }` ; - `embedding_url` stored as `voice_profiles.embedding_ref` ; - `modelVersion` is a required parameter — no default hardcoded i",Partial,"; - `audioUrl` for embedding must be a public URL — for local filesystem storage this means a temp URL or base64 payload, mechanism not confirmed ; - No local caching of embedding bytes — only URL stored; if Replicate URL expires, embedding is unrecoverable without re-enrollment ; - Model version hash is caller-supplied — no validation that it matches the expected ECAPA-TDNN model; wrong version w",P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,**db_tables:** `voice_profiles` ; --- ; | ; --- ;
C8,VoiceEnrollment,Quality scoring and tier assignment,"As a user, I want my enrollment scored into a quality tier so that voice-conversion settings are automatically tuned to my recording quality.","; - `calculateQualityGrade` maps score to grade: A (≥80), B (≥60), C (≥40), F (<40) ; - Tiers: `excellent` (≥80), `good` (≥60), `fair` (≥40/C), `basic` (≥20), `minimal` (<20) ; - `QUALITY_TIERS` drives Seed-VC parameters: `diffusionSteps` (25→150), `cfgRate` (0.7→0.3), `lengthAdjust` (1.0) ; - Gate: score ≥ 70 required to pass enrollment (enforced in route, not in service) ; - `voice_enrollment_su",Implemented,"; - Quality score gate (≥70) is enforced in the route layer only — the service `validateEnrollmentAudio` returns `passed: true/false` based on different thresholds (SNR/clipping), creating two independent pass criteria that must both align; mismatch is possible ; - Sung weight flag applied at the feature-flag layer but no fallback if flag read fails ; - `GRADE_VALUES` export used externally — if t",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `voice_profiles`, `feature_flags` ; --- ; | ; --- ;"
C9,VoiceEnrollment,Voice provider profile creation (Suno persona),"As a consenting user, I want a Suno voice persona prepared from my enrollment so that my songs can be generated in my personalized voice.","; - Triggered if: `shouldQueueSunoPersona && hasProviderConsent && cleanAudioReady && sunoPersonaAudioUploaded` ; - `createPendingProviderProfile` inserts `voice_provider_profiles` row (status: `pending`) ; - `createVoiceProviderJob` inserts job with `step=prepare_persona`, `maxAttempts=8` ; - Job step data: `providerProfileId`, `sessionId`, `userId`, `model` (default `V5_5`), `audioWeight` (defau",Implemented,"; - If Suno API is unavailable for extended period, `maxAttempts=8` exhausts and profile stays `pending_provider` with no user notification path found ; - `vocalWindow` (the best sung segment) is extracted from the sung calibration audio before the transaction; if extraction logic changes the window is not re-derivable without re-enrollment ; - No rollback of Suno persona if ElevenLabs clone creat",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `voice_provider_profiles`, `voice_provider_jobs`, `voice_profiles`, `granted_identities` ; --- ; | ; --- ;"
C10,VoiceEnrollment,ElevenLabs voice clone creation,"As a user, I want a voice clone created from my enrollment without blocking completion if it fails, so that guide vocals can match my voice while enrollment still succeeds.","; - `createVoiceClone` in `elevenlabs-voice.js`: multipart POST to `https://api.elevenlabs.io/v1/voices/add` ; - Requires: `apiKey`, local `audioPath` (must exist on disk), `name` ; - Name pattern: `porizo_user_{userId[0:8]}_{profileId[0:8]}` ; - `voice_id` stored in `voice_profiles.elevenlabs_voice_id` ; - Failure is **non-fatal** (caught, logged, enrollment continues) ; - Deletion: `deleteVoiceC",Implemented,"; - Clone creation is outside the DB transaction — orphan ElevenLabs voice on transaction rollback (noted in feature 5) ; - No retry on transient ElevenLabs API errors (single attempt, failure swallowed) ; - No periodic reconciliation to detect ElevenLabs voices that were created but whose `voice_profiles.elevenlabs_voice_id` was never saved (due to crash between API call and DB write) ; - `audioP",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,**db_tables:** `voice_profiles` ; --- ; | ; --- ;
C11,VoiceEnrollment,Impersonation detection & risk gating,"As the platform, I want to block enrollment or requests that ask to sound like a specific artist or person, so that the voice feature cannot be used for impersonation.","; - `moderation.js` defines `IMPERSONATION_PATTERNS`: `/sounds?\s+like/i`, `/in\s+the\s+style\s+of/i`, `/impersonate/i`, `/pretend\s+to\s+be/i`, `/voice\s+of/i`, `/sings?\s+like/i`, `/copy\s+(the\s+)?voice/i`, `/mimic/i`, `/imitat(e|es|ing)/i` ; - Semantic patterns (`SEMANTIC_IMPERSONATION_PATTERNS`): only flagged when combined with person/artist name context ; - `VIBE_ALLOWLIST` prevents false po",Implemented,"; - Impersonation detection operates on text inputs (prompts, lyrics) — no confirmed audio-layer check that enrollment recordings do not contain ""sound like Taylor Swift"" spoken by the user ; - `IMPERSONATION_PATTERNS` are static regex; no ML-based artist-name entity extraction confirmed ; - Semantic patterns require combined artist-name context but artist name detection logic (how names are ide",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,**db_tables:** `users` ; --- ; | ; --- ;
C12,VoiceEnrollment,Re-enrollment & rate limits,"As a user, I want to re-enroll within rate limits to upgrade or replace my voice profile, so that I can improve my voice quality over time.","; - Rate limits enforced: `enrollment_start` → 25/24h; `voice_profile_delete` → 1/60s ; - Re-enrollment flow: `/complete` detects existing active profile via `SELECT id, quality_score WHERE status = 'active'`; `outcome` set to `upgraded` (new score > old) or `replaced` (new score ≤ old) ; - Old profile is updated/superseded within the transaction ; - No explicit ""minimum cooldown between enrollme",Implemented,"; - `POST /voice/enrollment/complete` has no rate limit of its own — a client can open a session (costs 1 of 25 daily), then POST `/complete` many times against the same `session_id`; server will re-run QC each time ; - No user notification when a re-enrollment _downgrades_ quality (replaced with lower score) ; - No historical record of previous voice profiles retained (old profile row is modified",P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `enrollment_sessions`, `voice_profiles`, `rate_limits` ; --- ; | ; --- ;"
C13,VoiceEnrollment,Voice profile deletion,"As a user, I want to delete my voice profile and its provider clones, so that my voice data is removed whenever I choose.",; - `DELETE /voice/profile` ; - Rate limit: 1 deletion / 60 s ; - Fetches profile where `status != 'deleted'` ; - If `elevenlabs_voice_id` present: calls `deleteVoiceClone` (ElevenLabs API) — failure is logged but does not block deletion ; - Sets `voice_profiles.status = 'deleted'`; records `deletion_job_id` ; - Audit entry created,Implemented,"; - Raw enrollment audio (`storage/enrollment/raw/{userId}/`) and clean audio are not deleted in the route — spec says raw recordings auto-delete after 7 days, but no cron/job implementing this was found in the enrollment domain ; - `voice_provider_profiles` and `voice_provider_jobs` associated with the deleted profile: no cancellation / soft-delete confirmed in this route; orphan jobs may continu",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `voice_profiles`, `audit_logs` ; --- ; | ; --- ;"
C14,VoiceEnrollment,Voice profile read / status endpoint,"As a user, I want to check my voice profile's status and readiness, so that I know whether I can create personalized songs.","; - `GET /voice/profile` — returns current profile with `status`, `quality_score`, `quality_tier`, `provider_profile` readiness ; - Returns `pending_provider` readiness info including `job_id` for polling ; - Returns `null` if no profile exists",Implemented,; - No ETag / conditional GET support — iOS client must poll on a timer; no push/webhook to notify completion ; - Response shape when `pending_provider` job has exhausted all attempts is not explicitly handled — client may poll indefinitely,P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `voice_profiles`, `voice_provider_profiles`, `voice_provider_jobs` ; --- ; | ; --- ;"
C15,VoiceEnrollment,Memory questions endpoint,"As a user, I want to be asked contextual questions about my recipient, so that the song can be personalized to our relationship.","; - `POST /memory/questions` — generates contextual questions about the recipient ; - Rate-limited (rate limit action confirmed, limit value not captured in this pass) ; - Returns structured question set for the iOS UI",Partial,; - Questions are generated but it is not confirmed whether answers feed back into enrollment session context or only into lyric generation ; - No verified connection between memory question answers and `enrollment_sessions` schema,P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,**db_tables:** `rate_limits` ; --- ; | ; --- ;
C16,VoiceEnrollment,"Seed-VC voice conversion (at render time, using enrolled voice)","As a user, I want the guide vocal converted to my enrolled voice at render time, so that the finished song sounds like me singing.","; - `convertVoice` in `seedvc.js`: sends `sourceAudioPath` (guide vocal) + `referenceAudioPath` (enrolled clean audio) to Gradio server (`SEED_VC_BASE_URL`) ; - Parameters from quality tier: `diffusionSteps` (25 excellent → 150 minimal), `cfgRate` (0.7 → 0.3), `lengthAdjust` (1.0) ; - Default timeout: 300,000 ms (5 min) ; - Output saved to `storage/tracks/{userId}/{trackId}/v{n}/user_vocal.wav` (p",Implemented,"; - Gradio server is external (`SEED_VC_BASE_URL`) — no retry logic visible in the provider for transient Gradio failures; single-attempt ; - `referenceAudioPath` is the local clean audio path — in Railway ephemeral disk, this file may not survive between deploy cycles without S3 migration (spec: S3 migration is P1/pending) ; - No fallback if `SEED_VC_BASE_URL` is not set (throws at runtime, not a",P1,Infra-gated: Seed-VC Gradio provider required at render time,**db_tables:** _(none directly; uses filesystem)_ ; --- ; | ; --- ;
C17,VoiceEnrollment,Whisper transcription provider,"As the system, I want to transcribe enrollment audio via Whisper with auto language detection, so that spoken content can be processed reliably.","; - `transcribeAudio` in `whisper.js`: POST to `https://api.openai.com/v1/audio/transcriptions` ; - Supports: m4a, mp3, wav, webm, mp4, mpeg, mpga, oga, ogg, flac ; - Returns `{ text, language, duration }` ; - Timeout: 60,000 ms default ; - Language auto-detected if not provided",Implemented,; - No confirmed wiring of Whisper into the enrollment audio moderation path ; - API key sourced from env only — no startup check that key is present ; - No chunking for audio > Whisper's 25 MB limit,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,**db_tables:** _(none directly)_ ; --- ; | ; --- ;
C18,VoiceEnrollment,Consent scope management (granted_identities),"As a user, I want my consent scope and version recorded at enrollment, so that my voice is only used for the purposes I explicitly agreed to.","; - `resolvePersonaConsentScopes` called at session start with `consent_accepted` flag ; - `consent_scopes` stored on `enrollment_sessions` ; - `consent_version` stored; defaults to `""1.0""` if not provided ; - `granted_identities` migration (118) adds voice persona consent tracking ; - `hasProviderConsent` checked before Suno persona job creation",Implemented,"; - Consent version defaulting to `""1.0""` without enforcing client sends the current version risks consent misattribution if the policy changes ; - No mechanism found to re-request consent from users who enrolled under an older `consent_version` when policies change ; - Consent revocation after enrollment: `granted_identities` row removal does not cancel in-flight `voice_provider_jobs`",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `enrollment_sessions`, `granted_identities` ; --- ; | ; --- ;"
D1,Billing,Apple Receipt / JWS Validation,"As a paying user, I want my Apple in-app purchase receipt cryptographically verified and de-duplicated, so that my subscription is activated securely without double-charging.","; - `POST /billing/receipt/apple` → `apple-receipt-validator.js` decodes JWS, verifies ES256 signature using x5c leaf certificate (IEEE P1363 format), verifies certificate chain, extracts payload, maps `productId` to plan via `plan-config`. ; - Receipt de-duplicated via `purchase_receipts.transaction_id UNIQUE` constraint. ; - `subscriptionManager.syncSubscription()` upserts `subscriptions` row ke",Implemented,"; 1. Certificate chain validation is described as ""basic"" — root anchor is NOT pinned to Apple's known root CA. A compromised or self-signed cert chain could pass if the chain itself is valid but not rooted in Apple's CA. ; 2. No environment check on the JWS payload `environment` field (sandbox vs production) at the route level — sandbox receipts could be replayed against production if the valid",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,"**db_tables:** `purchase_receipts`, `subscriptions`, `entitlements`, `song_transactions` ; --- ; | ; --- ;"
